z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,0.24020436735727616,0.0,300.0,1.1339785751087368,6.5219519551855147e-08,-4.180432673204916e-17,3.0081779341261511e-18,0.19474195403501138,-1.2236856565655085e-17,1.8373828766855923e-11,7.3359679674394462e-15,9.2798655507454545e-15,-1.1822821499907606e-17,-1.3316169903233968e-17,-8.9522602387800956e-18,-8.9524155152719184e-18,2.4901146294861239e-16,0.073028232929628109,1.0648677932700105e-12,3.6648155051074728e-14,-6.1800042939814507e-18,3.7594976191340809e-15,-6.0862334997438103e-18,-6.0851241403194593e-18,3.3643450810888091e-16,-6.6101549799656178e-18,2.6423832750942931e-17,-6.4822144877585211e-18,6.7672489765336312e-16,-5.8646938667935907e-18,6.4040944693721607e-16,-9.7991607535144999e-18,3.0464225469607576e-18,-5.2126253497502912e-18,-1.1180476581423295e-17,-1.3117839455693827e-17,-3.9414246287543147e-19,-7.7256631095886663e-18,-8.0150915658543134e-18,2.7505764479312927e-18,5.6079355871723691e-18,-5.9089222208265622e-18,-7.8144218677241168e-18,-8.0556347302082827e-18,-5.6509288458268753e-18,-5.8786020457269004e-18,-9.7990292236954439e-18,-6.0387175104801766e-18,-6.0500842847004869e-18,-5.9388386741961303e-18,-5.9233598903219165e-18,0.73222974779634342,-7.6122178713383648e-18,-4.4717933465840711e-18,-4.1818520258833726e-18,-5.2763507170283864e-18,-1.1799160407770291e-18
0.0030000000000000001,0.24020450515809802,0.0,300.00000442500465,1.133977924566485,6.6679822560348634e-07,8.1771982999616262e-22,3.5791368023118265e-16,0.19474183527853689,4.6436943282677519e-19,6.0132732954985196e-10,2.6160758127701837e-13,3.3304857274182623e-13,5.0363040201935146e-24,1.3266626443657112e-24,9.9244271877268083e-23,1.0926919903392033e-24,8.48921697475282e-15,0.073028189832680432,3.7992064691443543e-11,1.7045114908674731e-12,6.139898965767718e-23,1.7716422015710507e-13,1.4090605129917872e-23,5.2401918651869434e-20,1.6417850409200182e-14,1.7187055269996414e-24,1.4530011167543079e-15,1.3030020316757691e-23,3.1225010878808333e-14,4.2380688403462978e-20,3.203330113166444e-14,1.1971038061434498e-22,4.5417098152398654e-16,4.7910298915513172e-18,1.7378609070857254e-18,2.1989607553903275e-20,2.795755869659323e-16,2.8615469866041187e-17,1.5878724582608085e-24,3.8728770158970791e-16,5.2541333061335886e-16,1.0855433892431299e-17,8.4890366300032079e-18,5.8164985504691096e-24,1.8696092426791891e-17,5.295352984916103e-18,8.2024081742808245e-24,5.98337399381054e-18,5.4517869059784836e-18,1.0656252886735279e-17,1.2646229426247691e-17,0.73222930744866954,6.8640307271300247e-18,4.0165883864818689e-18,2.1275138006678896e-17,1.6514314909832949e-21,2.2363185889666513e-16
0.0060000000000000001,0.24020599608662405,0.0,300.00015118321153,1.133970886107566,6.81726529929145e-06,-1.0062702140171606e-21,7.7662378593824846e-15,0.19474061621011607,4.5603818888788315e-18,1.967977835107235e-08,9.3141768987622022e-12,1.194224019985832e-11,-6.2339153144876551e-24,-1.6422058433114935e-24,-1.2285339559719894e-22,-1.3526316099786848e-24,2.7381791824481398e-13,0.073027744255872482,1.3554513422311837e-09,7.9262860303782987e-11,-7.5993161401046361e-23,8.3339678081917019e-12,-1.7442503751680786e-23,4.4540889539434217e-19,7.8684862927658116e-13,-2.127817254879264e-24,6.3780116398758963e-14,-1.6127285089545636e-23,1.4268249180540733e-12,-5.2233370470907187e-20,1.5887422937775159e-12,-1.4817356159327554e-22,2.4454703625199071e-14,3.7997356881254489e-18,-1.9879723265449526e-18,-2.7207627721689877e-20,6.0119539964400272e-15,7.0536267075116706e-16,-1.9656565806412372e-24,1.2939614667173251e-14,2.1947473903507863e-14,2.5302395962488436e-16,4.7236706687238322e-17,-7.2002972726537886e-24,6.3547564520903958e-16,-1.8547119971582127e-18,-1.015365555174501e-23,2.2956118117270347e-17,-1.9053084907145959e-18,2.4150432541681506e-16,-4.3843542563497655e-18,0.73222480112040111,-3.0062604791333571e-18,-1.433921290294318e-18,1.102177031075223e-15,-2.0436275857695634e-21,1.2021248078908054e-14
0.0074999999999999997,0.24021291913704809,0.0,300.00199470611363,1.1339382045280233,3.116642068960409e-05,-5.3453254683975785e-21,8.0370701712795765e-14,0.1947357266460423,1.0399811621683389e-16,2.5620512024621185e-07,1.3137298363804789e-10,1.6949641110351145e-10,-3.5467246852399969e-23,-9.3431883383362936e-24,-6.9891895676091607e-22,-7.694017498669243e-24,3.5622853472138977e-12,0.073025918663361888,1.9146124858396127e-08,1.4414182854474095e-09,-4.3064035684288339e-22,1.5325956538882325e-10,-9.9237792081982021e-23,9.4506166511333132e-17,1.4734032546077232e-11,-1.210526871370878e-23,1.1017799664865093e-12,-9.1769193071738911e-23,2.5526051704526549e-11,-2.9477324352083875e-19,3.0721627825665761e-11,-8.4303816363065566e-22,5.172684410937942e-13,1.0269911034477617e-16,-9.2361110414227908e-18,-1.5400106239531718e-19,5.5049275454579286e-14,9.440718474696621e-15,-1.1182827853000069e-23,1.8416020913305645e-13,3.6422650368796048e-13,4.6681963343688634e-15,6.920379522707425e-16,-4.0962229747007704e-23,1.1871121021873853e-14,-1.263585029947546e-17,-5.7768397261632209e-23,4.420041033475695e-16,-1.2603120736611487e-17,4.4382844664915427e-15,-2.8499544819655436e-17,0.73220691094595147,-2.1880372972219375e-17,-1.2862416098451046e-17,2.72490404828614e-14,-1.1585874629175972e-20,2.5650872860080925e-13
0.0082500000000000004,0.2402347619970816,0.0,300.01403309779641,1.1338351034893466,8.5450201549803719e-05,3.592776250939209e-20,4.3645307994486993e-13,0.19472441265275442,3.7536701268505621e-15,1.7814334690599455e-06,9.8481886801184436e-10,1.2779147747331783e-09,1.22196830645421e-22,3.2195249148922988e-23,2.4145449287399773e-21,2.6692785507425921e-23,2.4840784652503317e-11,0.073021462289161801,1.4370949152750863e-07,1.374317259307173e-08,1.601857673026904e-21,1.4768701401211785e-09,3.4260950635423298e-22,5.520365486426185e-15,1.44457566534445e-10,4.1708342007058625e-23,1.0003519089125932e-11,3.1626437499890807e-22,2.3961196084098885e-10,9.9087405547148209e-19,3.1057638401908668e-10,2.906441531094116e-21,5.6987566859276568e-12,1.312076136639982e-15,1.8489754771937089e-17,5.267829831908558e-19,2.7671391316951443e-13,6.7389617654980409e-14,3.8529588498789579e-23,1.3924151833689097e-12,3.1831535315298872e-12,4.5101051610581873e-14,5.3940957548255361e-15,1.4116726214143238e-22,1.1609639505683351e-13,5.6254242766653588e-17,1.9908527006389003e-22,4.4170841379746994e-15,5.984271946267641e-17,4.2719885507013956e-14,1.4501621228069736e-16,0.73216673148682887,1.0922859477540352e-17,1.6775450146912563e-17,3.4874171579034966e-13,4.2122519190633085e-20,2.8497564696891472e-12
0.0089999999999999993,0.24036273025317109,0.0,300.12281286126222,1.13323145374409,0.00026487027771227831,1.9913810712248923e-18,2.8289520400650369e-12,0.19468328100394972,2.5060593896516346e-13,1.5399880527643908e-05,9.2267663517970479e-09,1.2040356133710945e-08,-2.8293861668722955e-22,-7.4564860104178306e-23,-3.3193747553107423e-21,4.2829921012055107e-23,2.1547350463934624e-10,0.073003372148001594,1.3477961929073726e-06,1.6593365537322442e-07,2.3890742746220509e-20,1.8030221025720352e-08,-4.6141644815384392e-22,4.0408210352419485e-13,1.7959721760089091e-09,-9.668098839278845e-23,1.1472680275529133e-10,-7.2843689866093227e-22,2.8460252094335809e-09,-4.9193028179127939e-19,3.987238378435501e-09,-6.5786028736675277e-21,8.0039550161383585e-11,1.8274147336494496e-14,-3.2749547547516972e-17,-1.1893786728748875e-18,1.6849266074701637e-12,5.9722476795979046e-13,-8.9182871877891019e-23,1.315924479661815e-11,3.5060907228605696e-11,5.4967809924207602e-13,5.0623907751324259e-14,-3.2702550285241876e-22,1.4370624317920373e-12,5.4751751224435574e-16,-4.610910500799679e-22,5.3470853491191187e-14,5.7146051700406033e-16,5.1848850081704592e-13,1.3949023509822744e-15,0.73203151452042803,-5.0694877865500847e-17,1.2142395757417517e-16,5.7217603243014321e-12,6.916083129702952e-20,4.0375388638442341e-11
0.0093749999999999979,0.24072598352572111,0.0,300.50459007981311,1.1315214180092676,0.00050954160414602018,6.7407214646689184e-17,9.2903149188727641e-12,0.19461404097061888,4.5027633390411239e-12,6.2661402912011374e-05,4.0206894790544932e-08,5.2483454709812577e-08,9.0279655965830049e-22,2.3809964701661118e-22,1.6948446120510648e-19,7.8120245634311606e-21,8.7670657083196873e-10,0.072967327527948128,5.8600162875243914e-06,8.9047052169954608e-07,2.1288361456812929e-18,9.7628458375744e-08,3.3365455352044183e-20,7.3094234639922013e-12,9.8803674336194038e-09,3.0925882585594253e-22,5.8947047904319512e-10,2.7135959634602053e-21,1.506201910163841e-08,1.5860097275348078e-16,2.254580315173401e-08,2.718596683272196e-20,4.8897598926967347e-10,1.1191728012444117e-13,6.7781480467575799e-17,3.9101321783764378e-18,5.2155691309360731e-12,2.4793790062346781e-12,2.8453375600768428e-22,5.7789807877456676e-11,1.7388530254909042e-10,2.9744070911559113e-12,2.2100041162062838e-13,1.045364130514357e-21,7.8773068437490663e-12,3.3003171931762594e-15,1.4725979044670467e-21,2.8857002225558509e-13,3.3576419113284157e-15,2.7957576319948037e-12,8.1326482568277367e-15,0.73183943768208348,4.8502968372235394e-17,1.1443732861802977e-15,4.004371862628588e-11,3.1396072788093741e-18,2.4853031618736915e-10
0.0095624999999999981,0.2413944778756674,0.0,301.26849017713675,1.1283878928290771,0.00073726648014836279,7.249386929553557e-16,1.9870855909222341e-11,0.19452563182913662,3.0811048866603167e-11,0.00015632024912387007,1.0647075491770519e-07,1.3826326254616745e-07,-7.9973643619423378e-22,-2.1159177907034452e-22,2.509608609023784e-18,1.2913190089867112e-19,2.1731089869373605e-09,0.07291384473258733,1.5429458828771412e-05,2.7932882719831837e-06,4.3981129587452496e-17,3.0844636596880911e-07,6.6665852481905053e-19,5.2208732302117946e-11,3.165123999017109e-08,-2.7524603421270434e-22,1.7824135988752471e-09,6.0101009449125192e-21,4.6693195443221556e-08,3.6321362928505155e-15,7.3942113274906728e-08,8.7304191832357044e-20,1.7138726704328904e-09,3.9214043063155348e-13,1.4348892976183156e-17,-1.9451341385750084e-18,1.0516857833468558e-11,6.2860155341685456e-12,-2.5215303812405233e-22,1.5413303380316511e-10,5.096382195236075e-10,9.3955095615204307e-12,5.8301877480594403e-13,-9.3124794329848542e-22,2.5155496825227346e-11,1.0472147452690435e-14,-1.3072056541959412e-21,9.0868114760112349e-13,1.0441483138315166e-14,8.8047427521279794e-12,2.5231447890630713e-14,0.73164800096194127,-3.361311494456054e-18,4.5797096837473028e-15,1.5805545384231947e-10,1.9063443453456266e-17,8.7681941439614901e-10
0.0097499999999999983,0.24332038569566442,0.0,303.55101844267443,1.1194565775980239,0.0010946911728552645,9.4346153233468303e-15,4.7164947933291724e-11,0.1943208628063243,2.1503071733166523e-10,0.00043372969977745277,3.1782927066451363e-07,4.0785055651692313e-07,5.6196159224528007e-22,1.4907783243355228e-22,4.7332396218787563e-17,2.4609991345880077e-18,5.9030955641380559e-09,0.072776920269204085,4.5568380679670297e-05,1.0060276594782965e-05,1.0997774280159189e-15,1.1192339527341624e-06,1.7067628848011901e-17,4.2450638016541133e-10,1.1669017898884582e-07,1.9702042938561669e-22,6.1590643390409386e-09,2.1122641074575871e-19,1.6593457295820535e-07,7.0721996402738175e-14,2.799877121064232e-07,2.8360968139593996e-18,6.9901169701995621e-09,1.5993588557558625e-12,4.4317481515976936e-17,1.168069399602187e-17,2.2855347706739637e-11,1.7770985011131254e-11,1.7705384966757344e-22,4.6443944744986248e-10,1.6975384153551281e-09,3.4106730174111294e-11,1.7259557993168884e-12,6.6032571329143321e-22,9.2409383276476467e-11,3.8736686090656329e-14,9.1920597540871902e-22,3.2874766462563366e-12,3.7771186848681812e-14,3.1854311915523766e-11,9.0984401079683576e-14,0.73131573342315137,-1.3591631837789795e-17,2.2833460597224716e-14,7.3591935057775327e-10,1.7333255829778194e-16,3.6024115737206013e-09
0.0099374999999999984,0.24890041201916649,0.0,310.29219253666696,1.094359804473625,0.0016510533684304964,1.3854989467459359e-13,1.2567783019282624e-10,0.19380084679136839,1.3626638781644112e-09,0.0012447700996549539,1.0004660445313561e-06,1.2380975600716637e-06,-1.6420267093585476e-21,-4.4608073009245427e-22,8.1966015534210586e-16,4.381829914877733e-17,1.6386098341705002e-08,0.07240744437240236,0.00013951523653315406,3.7487723915860391e-05,2.5967046679141587e-14,4.193334566655681e-06,4.0511077761121312e-16,3.5268728467467643e-09,4.4459014209763852e-07,-6.0551098218590639e-22,2.2032031804982147e-08,5.5625388157968407e-18,6.1007489464961389e-07,1.18681562544736e-12,1.0961818336074362e-06,7.6744676792214668e-17,2.9426393562144891e-08,6.7327183774015108e-12,3.5273079018852731e-17,9.454187536578515e-17,5.1301318111136683e-11,5.1983451136002464e-11,-4.9002992676257863e-22,1.4826325924637997e-09,5.820418579905861e-09,1.280962504785384e-10,5.2950794067929107e-12,-2.0018939591210988e-21,3.507644928506616e-10,1.4794949550197197e-13,-2.7492527472460974e-21,1.2305616633403308e-11,1.4127246722828916e-13,1.192373408189692e-10,3.3942357735194168e-13,0.73071019996561803,-1.5407630798889261e-16,1.2804894649445857e-13,3.5310122233600641e-09,1.9588857813808956e-15,1.5275406180590091e-08
